name,title,department,salary
"AARON, ELVIA J",Software Engineer,INFORMATION TECHNOLOGY,90000
"AARON, JEFFREY M",Senior Software Engineer,INFORMATION TECHNOLOGY,110500
"ABAD JR, VICENTE M",Data Analyst,FINANCE,67500
"ADAMS, ROBERT L",Senior Data Analyst,FINANCE,103000
"ANDERSON, MICHAEL J",Project Manager,ADMINISTRATION,105000
"BAKER, CHRISTOPHER R",HR Manager,HUMAN RESOURCES,89500
"BROWN, DANIEL K",HR Executive,HUMAN RESOURCES,62500
"CARTER, JAMES W",Accountant,FINANCE,65500
"CLARK, WILLIAM T",Senior Accountant,FINANCE,93000
"DAVIS, MATTHEW P",Civil Engineer,ENGINEERING,77500
"EDWARDS, ANTHONY R",Electrical Engineer,ENGINEERING,91000
"EVANS, CHARLES D",Mechanical Engineer,ENGINEERING,89000
"FOSTER, STEPHEN M",Marketing Executive,MARKETING,65000
"GARCIA, JOSEPH A",Marketing Manager,MARKETING,85500
"GOMEZ, RICHARD L",Sales Executive,SALES,61000
"HARRIS, THOMAS J",Sales Manager,SALES,88500
"HAYES, KEVIN R",Customer Service Representative,CUSTOMER SERVICE,49500
"HENDERSON, MARK P",Operations Manager,OPERATIONS,90500
"JACKSON, DAVID S",Operations Executive,OPERATIONS,59500
"JOHNSON, JAMES A",Research Analyst,RESEARCH,73500
"KELLY, BRIAN T",Legal Advisor,LEGAL,107500
"KING, RONALD M",Administrative Assistant,ADMINISTRATION,55000
"LEE, ANDREW J",Executive Assistant,ADMINISTRATION,72000
"LEWIS, DANIEL P",Graphic Designer,CREATIVE SERVICES,56500
"MARTIN, GEORGE R",Content Specialist,COMMUNICATIONS,66000
"MILLER, JOSEPH K",Software Engineer,INFORMATION TECHNOLOGY,82500
"MOORE, EDWARD L",Senior Software Engineer,INFORMATION TECHNOLOGY,120000
"MORGAN, STEVEN D",Data Analyst,FINANCE,77000
"NELSON, PATRICK W",Senior Data Analyst,FINANCE,103000
"PARKER, DONALD M",Project Manager,ADMINISTRATION,108000
"PEREZ, CARLOS J",HR Manager,HUMAN RESOURCES,93500
"PETERSON, ERIC L",HR Executive,HUMAN RESOURCES,62500
"PHILLIPS, ROGER A",Accountant,FINANCE,69500
"REED, JASON T",Senior Accountant,FINANCE,91000
"RICHARDSON, SAMUEL K",Civil Engineer,ENGINEERING,82000
"RIVERA, MARIO P",Electrical Engineer,ENGINEERING,93500
"ROBERTS, JONATHAN D",Mechanical Engineer,ENGINEERING,91500
"ROBINSON, FRANK L",Marketing Executive,MARKETING,57500
"ROSS, TIMOTHY R",Marketing Manager,MARKETING,97500
"RUSSELL, GARY M",Sales Executive,SALES,65500
"SANDERS, BRIAN J",Sales Manager,SALES,84500
"SCOTT, JUSTIN P",Customer Service Representative,CUSTOMER SERVICE,59000
"SIMMONS, RONALD T",Operations Manager,OPERATIONS,96500
"SMITH, WALTER K",Operations Executive,OPERATIONS,64000
"STEWART, RYAN L",Research Analyst,RESEARCH,76000
"TAYLOR, KEITH J",Legal Advisor,LEGAL,107500
"THOMAS, ALBERT M",Administrative Assistant,ADMINISTRATION,49500
"THOMPSON, CRAIG R",Executive Assistant,ADMINISTRATION,76500
"TURNER, BENJAMIN D",Graphic Designer,CREATIVE SERVICES,61000
"WALKER, NICHOLAS P",Content Specialist,COMMUNICATIONS,58500
"WARD, JEREMY L",Software Engineer,INFORMATION TECHNOLOGY,80500
"WATSON, HENRY K",Senior Software Engineer,INFORMATION TECHNOLOGY,116500
"WILLIAMS, ERIC J",Data Analyst,FINANCE,67500
"WILSON, PETER R",Senior Data Analyst,FINANCE,98000
"WOOD, ADAM T",Project Manager,ADMINISTRATION,112500
"WRIGHT, JOSHUA M",HR Manager,HUMAN RESOURCES,92000
"YOUNG, CHRISTOPHER L",HR Executive,HUMAN RESOURCES,68000
"PATEL, ARJUN K",Accountant,FINANCE,68000
"SHARMA, ROHAN M",Senior Accountant,FINANCE,95500
"KUMAR, ADITYA S",Civil Engineer,ENGINEERING,77500
"SINGH, RAHUL P",Electrical Engineer,ENGINEERING,91000
"GUPTA, AMAN R",Mechanical Engineer,ENGINEERING,85500
"MEHTA, VIKAS J",Marketing Executive,MARKETING,65000
"VERMA, NIKHIL T",Marketing Manager,MARKETING,85500
"MALHOTRA, KUNAL D",Sales Executive,SALES,59500
"AGARWAL, RISHABH P",Sales Manager,SALES,82500
"JAIN, ANKIT M",Customer Service Representative,CUSTOMER SERVICE,57000
"KHAN, ARMAN S",Operations Manager,OPERATIONS,95000
"AARON, ELVIA J",Operations Executive,OPERATIONS,71500
"AARON, JEFFREY M",Research Analyst,RESEARCH,81000
"ABAD JR, VICENTE M",Legal Advisor,LEGAL,113000
"ADAMS, ROBERT L",Administrative Assistant,ADMINISTRATION,59500
"ANDERSON, MICHAEL J",Executive Assistant,ADMINISTRATION,69000
"BAKER, CHRISTOPHER R",Graphic Designer,CREATIVE SERVICES,64000
"BROWN, DANIEL K",Content Specialist,COMMUNICATIONS,60500
"CARTER, JAMES W",Software Engineer,INFORMATION TECHNOLOGY,90000
"CLARK, WILLIAM T",Senior Software Engineer,INFORMATION TECHNOLOGY,110500
"DAVIS, MATTHEW P",Data Analyst,FINANCE,67500
"EDWARDS, ANTHONY R",Senior Data Analyst,FINANCE,103000
"EVANS, CHARLES D",Project Manager,ADMINISTRATION,102500
"FOSTER, STEPHEN M",HR Manager,HUMAN RESOURCES,99500
"GARCIA, JOSEPH A",HR Executive,HUMAN RESOURCES,65000
"GOMEZ, RICHARD L",Accountant,FINANCE,63500
"HARRIS, THOMAS J",Senior Accountant,FINANCE,95500
"HAYES, KEVIN R",Civil Engineer,ENGINEERING,79500
"HENDERSON, MARK P",Electrical Engineer,ENGINEERING,93500
"JACKSON, DAVID S",Mechanical Engineer,ENGINEERING,79500
"JOHNSON, JAMES A",Marketing Executive,MARKETING,63500
"KELLY, BRIAN T",Marketing Manager,MARKETING,90000
"KING, RONALD M",Sales Executive,SALES,59500
"LEE, ANDREW J",Sales Manager,SALES,92000
"LEWIS, DANIEL P",Customer Service Representative,CUSTOMER SERVICE,61500
"MARTIN, GEORGE R",Operations Manager,OPERATIONS,95000
